X1,p,n,cor,pval,testStat
1,5,200,0.1,2e-4,95.8990463554503
2,5,200,0.1,2e-4,69.7728285746668
3,5,200,0.1,0.057,26.7671176746005
4,5,200,0.1,2e-4,83.0670989570075
5,5,200,0.1,0.2104,21.6340256938369
6,5,200,0.1,0.8364,13.9468509578986
7,5,200,0.1,0.2152,21.6799670845056
8,5,200,0.1,0.6138,16.4021900227032
9,5,200,0.1,2e-4,80.5669482212834
10,5,200,0.1,2e-4,82.9591495383681
11,5,200,0.1,0.0508,26.742458601790698
12,5,200,0.1,2e-4,84.6394034163249
13,5,200,0.1,2e-4,82.3627039047994
14,5,200,0.1,2e-4,99.0834098206732
15,5,200,0.1,2e-4,80.8222743621877
16,5,200,0.1,0.2582,20.892793472133
17,5,200,0.1,2e-4,59.9552577115744
18,5,200,0.1,0.0898,25.1884902508954
19,5,200,0.1,0.5564,17.0331703863735
20,5,200,0.1,2e-4,89.9615258560775
21,5,200,0.1,2e-4,71.0833719645648
22,5,200,0.1,2e-4,70.9383284024291
23,5,200,0.1,2e-4,66.4338920986289
24,5,200,0.1,2e-4,87.7846897202241
25,5,200,0.1,0.8294,13.943647977539
26,5,200,0.1,0.2942,20.2574581976452
27,5,200,0.1,0.1938,22.082125232685
28,5,200,0.1,0.7646,14.7679096642104
29,5,200,0.1,2e-4,79.0462970278791
30,5,200,0.1,0.4748,18.0981556036365
31,5,200,0.1,0.6614,16.0887986842872
32,5,200,0.1,0.5832,16.9615198241737
33,5,200,0.1,2e-4,79.6264165639553
34,5,200,0.1,0.7024,15.598247959074
35,5,200,0.1,2e-4,79.794506872026
36,5,200,0.1,0.6808,15.7988800421242
37,5,200,0.1,0.8602,13.663031668114
38,5,200,0.1,2e-4,83.1546390013532
39,5,200,0.1,2e-4,84.3029850066218
40,5,200,0.1,2e-4,94.7693192716026
41,5,200,0.1,2e-4,84.7554545700809
42,5,200,0.1,0.1,24.3823450806653
43,5,200,0.1,2e-4,79.9471322301977
44,5,200,0.1,0.7182,15.3134395812256
45,5,200,0.1,0.4328,18.4501823885238
46,5,200,0.1,2e-4,79.6997830713616
47,5,200,0.1,0.6902,15.701123905671
48,5,200,0.1,2e-4,78.7224232153164
49,5,200,0.1,2e-4,71.4850233763036
50,5,200,0.1,2e-4,78.9692318842891
51,5,200,0.1,0.0098,32.2260597657736
52,5,200,0.1,2e-4,77.6600734864349
53,5,200,0.1,0.743,15.0697037488147
54,5,200,0.1,2e-4,69.2345441120166
55,5,200,0.1,0.0182,30.4094434819077
56,5,200,0.1,2e-4,78.151461288077
57,5,200,0.1,0.7534,14.8917327002039
58,5,200,0.1,2e-4,68.1995104652583
59,5,200,0.1,0.6966,15.6279027634091
60,5,200,0.1,2e-4,62.9716164359395
61,5,200,0.1,2e-4,86.3572842440153
62,5,200,0.1,0.0112,31.8584995052314
63,5,200,0.1,2e-4,90.8047549778222
64,5,200,0.1,2e-4,91.8155205829317
65,5,200,0.1,2e-4,68.5126084520959
66,5,200,0.1,0.5266,17.449390592109
67,5,200,0.1,2e-4,76.37225036163
68,5,200,0.1,0.4526,18.2957052054991
69,5,200,0.1,2e-4,71.9419475950752
70,5,200,0.1,0.001,39.8297656440302
71,5,200,0.1,2e-4,80.0536176400494
72,5,200,0.1,2e-4,84.4927304666263
73,5,200,0.1,2e-4,87.338966952052
74,5,200,0.1,0.7328,15.176518814039
75,5,200,0.1,2e-4,81.8450624687069
76,5,200,0.1,2e-4,65.3479103968354
77,5,200,0.1,2e-4,86.5412503798591
78,5,200,0.1,0.1488,23.0303969875371
79,5,200,0.1,0.129,23.7606373235677
80,5,200,0.1,2e-4,70.7647603177247
81,5,200,0.1,0.016,30.978227875748
82,5,200,0.1,0.0134,31.7613763531265
83,5,200,0.1,0.0954,24.4076977763053
84,5,200,0.1,2e-4,75.8678893591367
85,5,200,0.1,0.0114,32.0798635816754
86,5,200,0.1,2e-4,56.513426937253
87,5,200,0.1,2e-4,95.2510564907854
88,5,200,0.1,2e-4,78.1785061950775
89,5,200,0.1,2e-4,92.8131810853644
90,5,200,0.1,0.0028,36.2714548832014
91,5,200,0.1,2e-4,51.1319200726728
92,5,200,0.1,2e-4,76.2777328080303
93,5,200,0.1,0.7972,14.4313166200485
94,5,200,0.1,6e-4,40.6866845861192
95,5,200,0.1,2e-4,81.3721724880195
