"","p","n","cor","pval","stat"
"1",5,200,0.1,9.42136988333889e-11,76.4823369107393
"2",5,200,0.1,0.295849818062614,20.9828515935821
"3",5,200,0.1,7.15203450453103e-13,86.9326865138638
"4",5,200,0.1,7.04530254280854e-11,77.1109427515011
"5",5,200,0.1,1.80648741548051e-11,80.0432084349908
"6",5,200,0.1,0.586642173014127,17.3742965279468
"7",5,200,0.1,1.28729527222698e-10,75.8061545705613
"8",5,200,0.1,2.59253348486266e-11,79.2666737454511
"9",5,200,0.1,0.163741789693083,23.4389950113536
"10",5,200,0.1,1.80014939791905e-10,75.0785685639509
"11",5,200,0.1,1.62413262681787e-11,80.2717065373317
"12",5,200,0.1,2.02052044437804e-10,74.8276980299328
"13",5,200,0.1,0.675265058119151,16.3917093587004
"14",5,200,0.1,2.20808524254087e-11,79.6118562966865
"15",5,200,0.1,1.79444604002106e-08,64.9487898049747
"16",5,200,0.1,0.0106472050702457,32.3836997844112
"17",5,200,0.1,0.571959832291419,17.537032696973
"18",5,200,0.1,0.797705479810598,14.9465505368392
"19",5,200,0.1,2.63257264159891e-09,69.2090886827307
"20",5,200,0.1,8.66684944756589e-08,61.4074937545099
"21",5,200,0.1,0.0654568857003299,26.7345103240627
"22",5,200,0.1,0.103409059012692,25.1471939870374
"23",5,200,0.1,0.267294071909161,21.4323843652282
"24",5,200,0.1,0.149212033767865,23.7955586960306
"25",5,200,0.1,0.000160004861009089,43.6158033404099
"26",5,200,0.1,4.28452013481002e-10,73.1911014337146
"27",5,200,0.1,5.3174946599077e-11,77.7186724267321
"28",5,200,0.1,0.233729782016044,22.0063513760736
"29",5,200,0.1,0.750001406823876,15.5327976696424
"30",5,200,0.1,0.316667455305066,20.6732605991117
"31",5,200,0.1,0.455277934214642,18.8691961791306
"32",5,200,0.1,3.43306305095535e-11,78.6621581504737
"33",5,200,0.1,2.99706679908175e-12,83.8866854235298
"34",5,200,0.1,0.995914846640747,10.0888599009818
"35",5,200,0.1,2.00232025434615e-14,94.4679696913164
"36",5,200,0.1,0.397090558023356,19.5836822018136
"37",5,200,0.1,0.838460829956345,14.4030505166123
"38",5,200,0.1,4.21135399526916e-13,88.0544991433517
"39",5,200,0.1,6.98959287704926e-13,86.9813949318717
"40",5,200,0.1,0.461931395499599,18.7902778703359
"41",5,200,0.1,0.122601477943303,24.5297693795226
"42",5,200,0.1,0.908323093240411,13.2921572234924
"43",5,200,0.1,2.44865821366513e-12,84.3173244456712
"44",5,200,0.1,0.769560159856078,15.297397398479
"45",5,200,0.1,0.963373148343136,11.9870275571721
"46",5,200,0.1,0.821367000314976,14.6371818332404
"47",5,200,0.1,6.29410436694859e-14,92.0638882971193
"48",5,200,0.1,2.32706878028188e-12,84.4257982995538
"49",5,200,0.1,0.314779093749256,20.7007835060035
"50",5,200,0.1,4.31505715904198e-10,73.1756061255247
"51",5,200,0.1,4.73326501725579e-10,72.9737218732694
"52",5,200,0.1,0.585956099326082,17.3818909559176
"53",5,200,0.1,1.91722857804175e-11,79.9154031724408
"54",5,200,0.1,5.62021674614666e-11,77.5991435970621
"55",5,200,0.1,0.754393265218294,15.480448406663
"56",5,200,0.1,7.44735872957825e-09,66.9078546854276
"57",5,200,0.1,0.461018295338142,18.8010796896906
