"","p","n","cor","pval"
"1",5,200,0,0.526
"2",5,200,0,0.415
"3",5,200,0,0.443
"4",5,200,0,0.359
"5",5,200,0,0.151
"6",5,200,0,0.207
"7",5,200,0,0.369
"8",5,200,0,0.474
"9",5,200,0,0.219
"10",5,200,0,0.89
"11",5,200,0,0.168
"12",5,200,0,0.862
"13",5,200,0,0.278
"14",5,200,0,0.444
"15",5,200,0,0.631
"16",5,200,0,0.294
"17",5,200,0,0.589
"18",5,200,0,0.155
"19",5,200,0,0.552
"20",5,200,0,0.757
"21",5,200,0,0.231
"22",5,200,0,0.709
"23",5,200,0,0.717
"24",5,200,0,0.839
"25",5,200,0,0.267
"26",5,200,0,0.297
"27",5,200,0,0.888
"28",5,200,0,0.684
"29",5,200,0,0.143
"30",5,200,0,0.43
"31",5,200,0,0.09
"32",5,200,0,0.746
"33",5,200,0,0.228
"34",5,200,0,0.365
"35",5,200,0,0.869
"36",5,200,0,0.22
"37",5,200,0,0.501
"38",5,200,0,0.42
"39",5,200,0,0.648
"40",5,200,0,0.43
"41",5,200,0,0.985
"42",5,200,0,0.122
"43",5,200,0,0.727
"44",5,200,0,0.036
"45",5,200,0,0.16
"46",5,200,0,0.093
"47",5,200,0,0.585
"48",5,200,0,0.89
"49",5,200,0,0.868
"50",5,200,0,0.76
"51",5,200,0,0.696
"52",5,200,0,0.674
"53",5,200,0,0.281
"54",5,200,0,0.253
"55",5,200,0,0.449
"56",5,200,0,0.432
"57",5,200,0,0.324
"58",5,200,0,0.198
"59",5,200,0,0.258
"60",5,200,0,0.888
"61",5,200,0,0.547
"62",5,200,0,0.949
"63",5,200,0,0.917
"64",5,200,0,0.481
"65",5,200,0,0.707
"66",5,200,0,0.422
"67",5,200,0,0.254
"68",5,200,0,0.126
"69",5,200,0,0.822
"70",5,200,0,0.946
"71",5,200,0,0.197
"72",5,200,0,0.905
"73",5,200,0,0.166
"74",5,200,0,0.0580000000000001
"75",5,200,0,0.748
"76",5,200,0,0.532
"77",5,200,0,0.206
"78",5,200,0,0.648
"79",5,200,0,0.787
"80",5,200,0,0.196
"81",5,200,0,0.157
"82",5,200,0,0.305
"83",5,200,0,0.79
"84",5,200,0,0.468
"85",5,200,0,0.522
"86",5,200,0,0.972
"87",5,200,0,0.138
"88",5,200,0,0.457
"89",5,200,0,0.369
"90",5,200,0,0.776
"91",5,200,0,0.84
"92",5,200,0,0.721
"93",5,200,0,0.291
"94",5,200,0,0.287
"95",5,200,0,0.36
"96",5,200,0,0.464
"97",5,200,0,0.71
"98",5,200,0,0.00600000000000001
"99",5,200,0,0.00600000000000001
"100",5,200,0,0.355
"101",5,200,0,0.254
"102",5,200,0,0.209
"103",5,200,0,0.798
"104",5,200,0,0.181
"105",5,200,0,0.234
"106",5,200,0,0.835
"107",5,200,0,0.28
"108",5,200,0,0.386
"109",5,200,0,0.016
"110",5,200,0,0.649
"111",5,200,0,0.904
"112",5,200,0,0.053
"113",5,200,0,0.716
"114",5,200,0,0.215
"115",5,200,0,0.667
"116",5,200,0,0.94
"117",5,200,0,0.186
"118",5,200,0,0.926
"119",5,200,0,0.078
"120",5,200,0,0.68
"121",5,200,0,0.789
"122",5,200,0,0.378
"123",5,200,0,0.818
"124",5,200,0,0.522
